06-04-2026	Retrieve the names of all customers who are from the city 'Mumbai'.	Filtering	Easy	`select customer_name from customers where city='Mumbai';`	`SELECT customer_name FROM customers WHERE city = 'Mumbai';`	Correct	1	1
06-04-2026	Get the product names and prices of products where the price is greater than 500.	Filtering	Easy	select product_name from products where price>500;	SELECT product_name, `price` FROM products WHERE price > 500;	Wrong Column Selection	0	1
06-04-2026	List all orders placed after '2023-01-01'.	Filtering	Easy	`select * from orders where order_date>'2023-01-01';`	`SELECT * FROM orders WHERE order_date > '2023-01-01';`	Correct	1	1
06-04-2026	Display the top 5 most expensive products based on price.	Sorting / Limiting	Easy	select product_name from products order by `desc` limit 5;	SELECT product_name, `price` FROM products ORDER BY `price` DESC LIMIT 5;	Syntax Error	0	1
06-04-2026	Find the total quantity sold for each product.	Aggregation	Easy	`select p.product_name, sum(o.quantity) as total_qty_sold from products p join order_items o on p.product_id=o.product_id group by p.product_name;`	`SELECT p.product_name, SUM(o.quantity) AS total_qty_sold FROM products p JOIN order_items o ON p.product_id = o.product_id GROUP BY p.product_name;`	Correct	1	1
06-04-2026	Retrieve the customer names along with their total order amount.	Aggregation	Easy	select c.customer_name, sum(o.total_amount) as tot_ord_amt from customers c join orders o on c.customer_id=o.customer_id;	SELECT c.customer_name, SUM(o.total_amount) AS tot_ord_amt FROM customers c JOIN orders o ON c.customer_id = o.customer_id `GROUP` `BY` `c.customer_name`;	Missing Condition	0	1
06-04-2026	Find all products that belong to the category 'Electronics' and have a price less than 1000.	Filtering	Easy	`select * from products where category='Electronics' and price<1000;`	`SELECT * FROM products WHERE category = 'Electronics' AND price < 1000;`	Correct	1	1
06-04-2026	List the order IDs and total number of items (quantity sum) in each order.	Aggregation	Easy	select order_id, sum(`total_amount`) from `orders` group by order_id;	SELECT order_id, SUM(`quantity`) FROM `order_items` GROUP BY order_id;	Wrong Column Selection	0	1
06-04-2026	Display the customers who have not placed any orders.	Joins & Set Operations	Easy	select c.customer_name, `o.order_id` from customers c left join orders o `where` o.order_id is null;	SELECT c.customer_name FROM customers c LEFT JOIN orders o `ON` c.customer_id = o.customer_id WHERE o.order_id IS NULL;	Syntax Error	0	1
06-04-2026	Get the product name and total revenue (quantity × item_price) generated for each product.	Aggregation	Easy	select p.product_name, sum(o.quantity)`*``o.item_price` as tot_revenue from products p join order_items o on p.product_id=`o.order_items` group by p.product_name;	SELECT p.product_name, SUM(o.quantity `*` o.item_price) AS tot_revenue FROM products p JOIN order_items o ON p.product_id = o.`product_id` GROUP BY p.product_name;	Syntax Error	0	1
06-04-2026	Retrieve the top 3 customers based on total order amount in descending order.	Aggregation	Easy	select c.customer_name, `o.total_amount` from customers c join orders o on c.customer_id=o.customer_id order by total_amount desc limit 3;	SELECT c.customer_name, `SUM`(o.total_amount) AS total_amount FROM customers c JOIN orders o ON c.customer_id = o.customer_id `GROUP` `BY` c.customer_name ORDER BY total_amount DESC LIMIT 3;	Missing Condition	0	1
06-04-2026	Find the average price of products for each category.	Aggregation	Easy	`select category, avg(price) from products group by category;`	`SELECT category, AVG(price) FROM products GROUP BY category;`	Correct	1	1
06-04-2026	List all orders along with the customer name who placed them.	Joins & Set Operations	Easy	`select c.customer_name, o.* from customers c join orders o on c.customer_id=o.customer_id;`	`SELECT o.order_id, o.order_date, o.total_amount, c.customer_name FROM customers c JOIN orders o ON c.customer_id = o.customer_id;`	Correct	1	1
06-04-2026	Display the products that have never been ordered.	Joins & Set Operations	Easy	`select p.product_name from products p left join order_items oi on p.product_id=oi.product_id where oi.product_id is null;`	`SELECT p.product_name FROM products p LEFT JOIN order_items oi ON p.product_id = oi.product_id WHERE oi.product_id IS NULL;`	Correct	1	1
06-04-2026	Get the total number of orders placed by each customer, sorted in descending order.	Aggregation	Easy	select c.customer_name, count(o.order_id) as num_of_ords from customers c join orders o on c.customer_id=o.customer_id group by c.customer_name order by count(o.order_id) `as` desc;	SELECT c.customer_name, COUNT(o.order_id) AS num_of_ords FROM customers c JOIN orders o ON c.customer_id = o.customer_id GROUP BY c.customer_name ORDER BY `num_of_ords` DESC;	Syntax Error	0	1
06-04-2026	Retrieve the order IDs where the total quantity of items is greater than 10.	Aggregation	Easy	`select o.order_id, sum(oi.quantity) as tot_qty from orders o join order_items oi on o.order_id=oi.order_id group by o.order_id having tot_qty>10;`	`SELECT o.order_id, SUM(oi.quantity) AS tot_qty FROM orders o JOIN order_items oi ON o.order_id = oi.order_id GROUP BY o.order_id HAVING SUM(oi.quantity) > 10;`	Correct	1	1
06-04-2026	Find the total revenue generated on each order.	Aggregation	Easy	select order_id, sum(`total_amount`) from `orders` group by order_id;	SELECT order_id, SUM(`quantity` `*` `item_price`) AS total_revenue FROM `order_items` GROUP BY order_id;	Wrong Column Selection	0	1
